#PHYSICS,,Link
Is there any formal education?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
At what age do children start school?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is education available to all or only certain groups?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Are different groups of people educated separately?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there a written language?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Are most people literate or illiterate?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What are schools like?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What are there different types of school for?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What is the system of government? Democracy? Dictatorship? Administration?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is it a matriarchy or a patriarchy?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
"Does the leader have special protection (Kingsguard, secret service)?",,https://www.novel-software.com/theultimateworldbuildingquestionnaire
How long has the system of government been in place?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there a class system? Different levels of citizenship?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there slavery?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there a form of police?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there a formal army?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
How are wrongdoers tried and punished?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Does the government provide social assistance?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there any centralised healthcare?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there public transport?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Are there publicly run communications systems?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Do people trust the government?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Do the majority of people approve of or disapprove of the government?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is social mobility easy or hard?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What is the system or taxation?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Does the government spy on its enemies? Its people?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
#COMMERCE & TRADE,,
What is the monetary system?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Are there multiple currencies?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there widespread trade?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
#MAGIC,,
Does magic exist? What constrains it?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What can magic not do?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
"Do people believe in one God, many or none?",,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is there more than one religion?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Do people make sacrifices to Gods?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Do an elite control magic or is it accessible to all?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Are there any magical creatures? Describe them.,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
To what extent is magic a learned skill or an innate talent?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
"Is magic a specialist, elite skill or is it used easily by commoners?",,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What is the price / cost of using magic?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Do magicians need to meet any specific criteria? Be celibate? Go through a ritual?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Does magic requires tools and props?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
How is one magician stronger than another?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Can magic be combined to increase its strength?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What defeats magic?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is magic admired / respected / feared / something else?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is any magic illegal?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What is magic generally used for?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
#RELIGION AND SCIENCE,,
Do an elite control religion or is it accessible to all?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What are temples like?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
"What is the level of technology (stone age, hi tech)?",,https://www.novel-software.com/theultimateworldbuildingquestionnaire
#DAILY LIFE,,
What does a feast look like?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What does a basic pauper’s meal look like?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
"Do people mostly eat meat, fish or vegetables?",,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Do people eat plain or heavily flavoured food?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Do people eat together or separately?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Do people eat in small or large groups?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What utensils do people use to eat?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Are there many restaurants? Who goes to them?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Are there street food sellers?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What do people drink?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Is the water generally clean enough to drink?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
Are some foods poisonous to certain people?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What are the tables like? Shape? High or low?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
#CONFLICT,,
Is there widespread conflict?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
How long ago was the most recent war?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
How damaging was the most recent war?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
What was the cause of the most recent war?,,https://www.novel-software.com/theultimateworldbuildingquestionnaire
